Rank,Competitor,DOB,Nat,Pos,Venue,Date,Results Score,Age,Year_Event,YearGroup,AgeGroup,Time,Time_Sec
50,William Malel SITONIK,01/03/1994,KEN,2,"Hayward Field, Eugene, OR (USA)",27/05/2016,1235,22.0,2016,2010-2019,20-25,26:54:66,1614.66
51,Leonard Patrick KOMON,10/01/1988,KEN,9,"Hayward Field, Eugene, OR (USA)",03/06/2011,1234,22.0,2011,2010-2019,20-25,26:55:29,1615.29
52,Rodgers KWEMOI,03/03/1998,KEN,4f,"Khalifa International Stadium, Doha (QAT)",06/10/2019,1234,21.0,2019,2010-2019,20-25,26:55:36,1615.36
53,Geoffrey KIRUI,16/02/1993,KEN,6,"Boudewijnstadion, Bruxelles (BEL)",16/09/2011,1233,19.0,2011,2010-2019,0-19,26:55:73,1615.73
54,Abadi HADIS,06/11/1997,ETH,6,Hengelo (NED),17/07/2019,1232,22.0,2019,2010-2019,20-25,26:56:46,1616.46
55,Josphat Kiprono MENJO,20/08/1979,KEN,1,Turku (FIN),29/08/2010,1231,31.0,2010,2010-2019,31-35,26:56:74,1616.74
56,Tamirat TOLA,11/08/1991,ETH,3,"Hayward Field, Eugene, OR (USA)",27/05/2016,1230,25.0,2016,2010-2019,20-25,26:57:33,1617.33
57,Josphat Muchiri NDAMBIRI,12/02/1985,KEN,1f1,Shizuoka (JPN),03/05/2009,1230,23.0,2009,2000-2009,20-25,26:57:36,1617.36
58,Yobes ONDIEKI,21/02/1961,KEN,1,Oslo (NOR),10/07/1993,1229,33.0,1993,1990-1999,31-35,26:58:38,1618.38
59,Ibrahim JEILAN,12/06/1989,ETH,5,"Hayward Field, Eugene, OR (USA)",27/05/2016,1228,26.0,2016,2010-2019,26-30,26:58:75,1618.75
60,Nicholas Kipkorir KIMELI,29/09/1998,KEN,,"Sportcomplex De Leidse Hout, Leiden (NED)",19/09/2020,1228,22.0,2020,2020+,20-25,26:58:97,1618.97
61,Mohammed AHMED,05/01/1991,CAN,6f,"Khalifa International Stadium, Doha (QAT)",06/10/2019,1227,28.0,2019,2010-2019,26-30,26:59:35,1619.35
62,Chris SOLINSKY,05/12/1984,USA,1f1,"Palo Alto, CA (USA)",01/05/2010,1227,26.0,2010,2010-2019,26-30,26:59:60,1619.6
63,Bernard Kiprop KIPYEGO,16/07/1986,KEN,4,"Boudewijnstadion, Bruxelles (BEL)",14/09/2007,1227,21.0,2007,2000-2009,20-25,26:59:61,1619.61
64,Titus Kipjumba MBISHEI,28/10/1990,KEN,7,"Boudewijnstadion, Bruxelles (BEL)",16/09/2011,1226,21.0,2011,2010-2019,20-25,26:59:81,1619.81
65,Martin Irungu MATHATHI,25/12/1985,KEN,2f1,Shizuoka (JPN),03/05/2009,1226,23.0,2009,2000-2009,20-25,26:59:88,1619.88
66,Berehanu TSEGU,30/09/1999,ETH,7,Hengelo (NED),17/07/2019,1225,20.0,2019,2010-2019,20-25,27:00:73,1620.73
67,Richard YATOR,06/04/1998,KEN,1f3,"Prefectural Stadium, Kumagaya (JPN)",19/09/2020,1224,22.0,2020,2020+,20-25,27:01:42,1621.42
68,Gideon NGATUNYI,10/10/1986,KEN,2f1,Tendo (JPN),16/05/2009,1223,23.0,2009,2000-2009,20-25,27:01:83,1621.83
69,Jonathan Muia NDIKU,18/09/1991,KEN,2f9,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",14/11/2020,1223,29.0,2020,2020+,26-30,27:01:95,1621.95
70,Wilson KIPROP,14/04/1987,KEN,1,"Hayward Field, Eugene, OR (USA)",01/06/2012,1223,25.0,2012,2010-2019,20-25,27:01:98,1621.98
71,Solomon BERIHU,02/10/1999,ETH,8,Hengelo (NED),17/07/2019,1223,20.0,2019,2010-2019,20-25,27:02:26,1622.26
72,Benard KIBET,25/11/1999,KEN,2f3,"Prefectural Stadium, Kumagaya (JPN)",19/09/2020,1222,21.0,2020,2020+,20-25,27:02:39,1622.39
73,Nicholas Mboroto KOSIMBEI,01/10/1996,KEN,7,"Hayward Field, Eugene, OR (USA)",27/05/2016,1222,20.0,2016,2010-2019,20-25,27:02:59,1622.59
74,Abderrahim GOUMRI,21/05/1976,MAR,3,Hengelo (NED),29/05/2005,1222,29.0,2005,2000-2009,26-30,27:02:62,1622.62
74,Deriba Merga EJIGU,26/10/1980,ETH,6,"Blankers-Koen Stadion, Hengelo (NED)",26/05/2007,1222,27.0,2007,2000-2009,26-30,27:02:62,1622.62
76,Tariku BEKELE,28/02/1987,ETH,2,Birmingham (GBR),22/06/2012,1221,25.0,2012,2010-2019,20-25,27:03:24,1623.24
77,Kaan Kigen ÖZBILEN,15/01/1986,KEN,6,"Boudewijnstadion, Bruxelles (BEL)",07/09/2012,1221,26.0,2012,2010-2019,26-30,27:03:49,1623.49
78,Robert Sigei KIPNGETICH,03/01/1982,KEN,1,Neerpelt (BEL),02/06/2007,1219,25.0,2007,2000-2009,20-25,27:04:18,1624.18
79,Abraham CHEBII,23/12/1979,KEN,1,"Palo Alto, CA (USA)",04/05/2001,1219,21.0,2001,2000-2009,20-25,27:04:20,1624.2
80,Moses Ndiema KIPSIRO,02/09/1986,UGA,5,Birmingham (GBR),22/06/2012,1219,26.0,2012,2010-2019,26-30,27:04:48,1624.48
81,Felix LIMO,22/08/1980,KEN,2,Bruxelles (BEL),25/08/2000,1219,20.0,2000,2000-2009,20-25,27:04:54,1624.54
82,Lopez LOMONG,01/01/1985,USA,7f,"Khalifa International Stadium, Doha (QAT)",06/10/2019,1219,34.0,2019,2010-2019,31-35,27:04:72,1624.72
83,Tadesse TOLA,31/10/1987,ETH,3,Neerpelt (BEL),02/06/2007,1218,19.0,2007,2000-2009,0-19,27:04:89,1624.89
84,Ali ABDOSH,25/08/1987,ETH,7,"Blankers-Koen Stadion, Hengelo (NED)",26/05/2007,1218,20.0,2007,2000-2009,20-25,27:04:92,1624.92
85,Patrick Mutuku IVUTI,30/07/1978,KEN,6,Bruxelles (BEL),30/08/2002,1217,24.0,2002,2000-2009,20-25,27:05:88,1625.88
86,Kidane TADESSE,31/08/1987,ERI,1f1,Neerpelt (BEL),31/05/2008,1216,21.0,2008,2000-2009,20-25,27:06:16,1626.16
87,John Yuda MSURI,09/06/1979,TAN,7,Bruxelles (BEL),30/08/2002,1216,23.0,2002,2000-2009,20-25,27:06:17,1626.17
88,Worku BIKILA,06/05/1968,ETH,1,Bruxelles (BEL),25/08/1995,1216,27.0,1995,1990-1999,26-30,27:06:44,1626.44
89,Habte JIFAR,29/01/1976,ETH,1,"Blankers-Koen Stadion, Hengelo (NED)",30/05/1999,1216,23.0,1999,1990-1999,20-25,27:06:45,1626.45
90,Awash Habtamu FIKADU,13/03/1988,ETH,8,"Blankers-Koen Stadion, Hengelo (NED)",26/05/2007,1216,19.0,2007,2000-2009,0-19,27:06:47,1626.47
91,Ismael KIRUI,20/02/1975,KEN,2,Bruxelles (BEL),25/08/1995,1216,21.0,1995,1990-1999,20-25,27:06:59,1626.59
92,Cameron LEVINS,28/03/1989,CAN,4,"Hayward Field, Eugene, OR (USA)",29/05/2015,1214,26.0,2015,2010-2019,26-30,27:07:51,1627.51
93,Benjamin MAIYO,06/10/1978,KEN,2,"Palo Alto, CA (USA)",04/05/2001,1214,23.0,2001,2000-2009,20-25,27:07:55,1627.55
93,Shadrack KIPCHIRCHIR,22/02/1989,USA,9,"Olympic Stadium, London (GBR)",04/08/2017,1214,28.0,2017,2010-2019,26-30,27:07:55,1627.55
95,Daniel Lemashon SALEL,11/12/1990,KEN,2f1,"Palo Alto, CA (USA)",01/05/2010,1214,19.0,2010,2010-2019,0-19,27:07:85,1627.85
96,Richard CHELIMO,21/04/1972,KEN,1,Stockholm (SWE),05/07/1993,1213,21.0,1993,1990-1999,20-25,27:07:91,1627.91
97,Arturo BARRIOS,12/12/1963,MEX,1,"Olympiastadion, Berlin (GER)",18/08/1989,1213,26.0,1989,1980-1989,26-30,27:08:23,1628.23
98,Samuel CHELANGA,23/02/1985,KEN,3f1,"Palo Alto, CA (USA)",01/05/2010,1213,25.0,2010,2010-2019,20-25,27:08:39,1628.39
99,Guye Idemo ADOLA,20/10/1990,ETH,8,"Hayward Field, Eugene, OR (USA)",27/05/2016,1211,26.0,2016,2010-2019,26-30,27:09:78,1629.78
100,Bernard ROTICH,11/08/1986,KEN,1,Nairobi (KEN),30/05/2008,1210,22.0,2008,2000-2009,20-25,27:09:8,1629.8
1,Joshua CHEPTEGEI,12/09/1996,UGA,1,"Estadio de Atletismo del Turia, Valencia (ESP)",07/10/2020,1306,24.0,2020,2020+,20-25,26:11:00,1571.0
2,Kenenisa BEKELE,13/06/1982,ETH,1,"Boudewijnstadion, Bruxelles (BEL)",26/08/2005,1295,23.0,2005,2000-2009,20-25,26:17:53,1577.53
3,Haile GEBRSELASSIE,18/04/1973,ETH,1,"Blankers-Koen Stadion, Hengelo (NED)",01/06/1998,1287,25.0,1998,1990-1999,20-25,26:22:75,1582.75
4,Paul TERGAT,17/06/1969,KEN,1,Bruxelles (BEL),22/08/1997,1278,28.0,1997,1990-1999,26-30,26:27:85,1587.85
5,Nicholas KEMBOI,25/11/1983,KEN,2,"Boudewijnstadion, Bruxelles (BEL)",05/09/2003,1275,19.0,2003,2000-2009,0-19,26:30:03,1590.03
6,Abebe DINKESA,06/03/1984,ETH,2,Hengelo (NED),29/05/2005,1273,21.0,2005,2000-2009,20-25,26:30:74,1590.74
7,Micah Kemboi KOGO,30/06/1986,KEN,1,"Boudewijnstadion, Bruxelles (BEL)",25/08/2006,1266,20.0,2006,2000-2009,20-25,26:35:63,1595.63
8,Paul KOECH,25/06/1969,KEN,2,Bruxelles (BEL),22/08/1997,1264,28.0,1997,1990-1999,26-30,26:36:26,1596.26
9,Zersenay TADESE,01/01/1982,ERI,2,"Boudewijnstadion, Bruxelles (BEL)",25/08/2006,1263,25.0,2006,2000-2009,20-25,26:37:25,1597.25
10,Salah HISSOU,16/01/1972,MAR,1,Bruxelles (BEL),23/08/1996,1262,25.0,1996,1990-1999,20-25,26:38:08,1598.08
11,Ahmad Hassan ABDULLAH,04/04/1981,QAT,3,"Boudewijnstadion, Bruxelles (BEL)",05/09/2003,1260,22.0,2003,2000-2009,20-25,26:38:76,1598.76
12,Sileshi SIHINE,29/01/1983,ETH,1,"Blankers-Koen Stadion, Hengelo (NED)",31/05/2004,1259,21.0,2004,2000-2009,20-25,26:39:69,1599.69
13,Boniface KIPROP,12/10/1985,UGA,2,"Boudewijnstadion, Bruxelles (BEL)",26/08/2005,1259,20.0,2005,2000-2009,20-25,26:39:77,1599.77
14,Samuel Kamau WANJIRU,10/11/1986,KEN,3,"Boudewijnstadion, Bruxelles (BEL)",26/08/2005,1256,19.0,2005,2000-2009,0-19,26:41:75,1601.75
15,Lucas Kimeli ROTICH,16/04/1990,KEN,2,"Boudewijnstadion, Bruxelles (BEL)",16/09/2011,1252,21.0,2011,2010-2019,20-25,26:43:98,1603.98
16,Galen RUPP,08/05/1986,USA,1,"Hayward Field, Eugene, OR (USA)",30/05/2014,1251,28.0,2014,2010-2019,26-30,26:44:36,1604.36
17,Mo FARAH,23/03/1983,GBR,1,"Hayward Field, Eugene, OR (USA)",03/06/2011,1248,28.0,2011,2010-2019,26-30,26:46:57,1606.57
18,Imane MERGA,15/10/1988,ETH,2,"Hayward Field, Eugene, OR (USA)",03/06/2011,1245,22.0,2011,2010-2019,20-25,26:48:35,1608.35
19,Hagos GEBRHIWET,11/05/1994,ETH,1,Hengelo (NED),17/07/2019,1244,25.0,2019,2010-2019,20-25,26:48:95,1608.95
20,Josphat Kipkoech BETT,12/06/1990,KEN,3,"Hayward Field, Eugene, OR (USA)",03/06/2011,1244,20.0,2011,2010-2019,20-25,26:48:99,1608.99
21,Eliud KIPCHOGE,05/11/1984,KEN,2,"Blankers-Koen Stadion, Hengelo (NED)",26/05/2007,1244,23.0,2007,2000-2009,20-25,26:49:02,1609.02
22,Moses Ndiema MASAI,01/06/1986,KEN,2,"Boudewijnstadion, Bruxelles (BEL)",14/09/2007,1244,22.0,2007,2000-2009,20-25,26:49:20,1609.2
23,Yomif KEJELCHA,01/08/1997,ETH,2f,"Khalifa International Stadium, Doha (QAT)",06/10/2019,1243,22.0,2019,2010-2019,20-25,26:49:34,1609.34
24,Sammy KIPKETER,29/09/1981,KEN,1,Bruxelles (BEL),30/08/2002,1243,21.0,2002,2000-2009,20-25,26:49:38,1609.38
25,Paul Kipngetich TANUI,22/12/1990,KEN,2,"Hayward Field, Eugene, OR (USA)",30/05/2014,1243,23.0,2014,2010-2019,20-25,26:49:41,1609.41
26,Selemon BAREGA,20/01/2000,ETH,2,Hengelo (NED),17/07/2019,1243,19.0,2019,2010-2019,0-19,26:49:46,1609.46
27,Moses MOSOP,07/07/1985,KEN,3,"Blankers-Koen Stadion, Hengelo (NED)",26/05/2007,1243,22.0,2007,2000-2009,20-25,26:49:55,1609.55
28,Assefa MEZGEBU,19/06/1978,ETH,2,Bruxelles (BEL),30/08/2002,1242,24.0,2002,2000-2009,20-25,26:49:90,1609.9
29,Rhonex KIPRUTO,12/10/1999,KEN,1,"Olympiastadion, Stockholm (SWE)",30/05/2019,1242,19.0,2019,2010-2019,0-19,26:50:16,1610.16
30,Richard LIMO,18/11/1980,KEN,3,Bruxelles (BEL),30/08/2002,1242,22.0,2002,2000-2009,20-25,26:50:20,1610.2
31,Dejen GEBREMESKEL,24/11/1989,ETH,1,Sollentuna (SWE),27/06/2013,1241,24.0,2013,2010-2019,20-25,26:51:02,1611.02
32,Yigrem DEMELASH,26/01/1994,ETH,1,Hengelo (NED),29/06/2016,1240,22.0,2016,2010-2019,20-25,26:51:11,1611.11
33,Emmanuel Kipkemei BETT,29/03/1985,KEN,1,"Boudewijnstadion, Bruxelles (BEL)",07/09/2012,1240,27.0,2012,2010-2019,26-30,26:51:16,1611.16
34,Charles Waweru KAMATHI,18/05/1978,KEN,1,Bruxelles (BEL),03/09/1999,1240,21.0,1999,1990-1999,20-25,26:51:49,1611.49
35,Vincent Kiprop CHEPKOK,05/07/1988,KEN,2,"Boudewijnstadion, Bruxelles (BEL)",07/09/2012,1240,24.0,2012,2010-2019,20-25,26:51:68,1611.68
36,Bedan KAROKI,21/08/1990,KEN,4,"Olympic Stadium, London (GBR)",04/08/2017,1239,27.0,2017,2010-2019,26-30,26:52:12,1612.12
37,William SIGEI,11/10/1969,KEN,1,"Bislett Stadion, Oslo (NOR)",22/07/1994,1239,25.0,1994,1990-1999,20-25,26:52:23,1612.23
38,Mohammed MOURHIT,10/10/1970,BEL,2,Bruxelles (BEL),03/09/1999,1239,28.0,1999,1990-1999,26-30,26:52:30,1612.3
39,Gebregziabher GEBREMARIAM,12/10/1984,ETH,4,"Blankers-Koen Stadion, Hengelo (NED)",26/05/2007,1238,22.0,2007,2000-2009,20-25,26:52:33,1612.33
40,Kenneth Kiprop KIPKEMOI,02/08/1984,KEN,3,"Boudewijnstadion, Bruxelles (BEL)",07/09/2012,1238,28.0,2012,2010-2019,26-30,26:52:65,1612.65
40,Geoffrey KAMWOROR,28/11/1992,KEN,3,"Hayward Field, Eugene, OR (USA)",29/05/2015,1238,22.0,2015,2010-2019,20-25,26:52:65,1612.65
42,Abera KUMA,31/08/1990,ETH,2,Sollentuna (SWE),27/06/2013,1238,23.0,2013,2010-2019,20-25,26:52:85,1612.85
43,John Cheruiyot KORIR,13/12/1981,KEN,5,Bruxelles (BEL),30/08/2002,1238,21.0,2002,2000-2009,20-25,26:52:87,1612.87
44,Mark Kipkinyor BETT,22/12/1976,KEN,6,"Boudewijnstadion, Bruxelles (BEL)",26/08/2005,1237,29.0,2005,2000-2009,26-30,26:52:93,1612.93
45,Andamlak BELIHU,20/11/1998,ETH,4,Hengelo (NED),17/07/2019,1237,21.0,2019,2010-2019,20-25,26:53:15,1613.15
46,Mathew Kipkoech KISORIO,16/05/1989,KEN,7,"Hayward Field, Eugene, OR (USA)",03/06/2011,1235,22.0,2011,2010-2019,20-25,26:54:25,1614.25
47,Jemal Yimer MEKONNEN,11/09/1996,ETH,5,Hengelo (NED),17/07/2019,1235,23.0,2019,2010-2019,20-25,26:54:39,1614.39
48,Stephen SAMBU,07/07/1988,KEN,4,"Hayward Field, Eugene, OR (USA)",30/05/2014,1235,26.0,2014,2010-2019,26-30,26:54:61,1614.61
49,Mark Kosgei KIPTOO,21/06/1976,KEN,8,"Hayward Field, Eugene, OR (USA)",03/06/2011,1235,35.0,2011,2010-2019,31-35,26:54:64,1614.64
50,William Malel SITONIK,01/03/1994,KEN,2,"Hayward Field, Eugene, OR (USA)",27/05/2016,1235,22.0,2016,2010-2019,20-25,26:54:66,1614.66
51,Leonard Patrick KOMON,10/01/1988,KEN,9,"Hayward Field, Eugene, OR (USA)",03/06/2011,1234,22.0,2011,2010-2019,20-25,26:55:29,1615.29
52,Rodgers KWEMOI,03/03/1998,KEN,4f,"Khalifa International Stadium, Doha (QAT)",06/10/2019,1234,21.0,2019,2010-2019,20-25,26:55:36,1615.36
53,Geoffrey KIRUI,16/02/1993,KEN,6,"Boudewijnstadion, Bruxelles (BEL)",16/09/2011,1233,19.0,2011,2010-2019,0-19,26:55:73,1615.73
54,Abadi HADIS,06/11/1997,ETH,6,Hengelo (NED),17/07/2019,1232,22.0,2019,2010-2019,20-25,26:56:46,1616.46
55,Josphat Kiprono MENJO,20/08/1979,KEN,1,Turku (FIN),29/08/2010,1231,31.0,2010,2010-2019,31-35,26:56:74,1616.74
56,Tamirat TOLA,11/08/1991,ETH,3,"Hayward Field, Eugene, OR (USA)",27/05/2016,1230,25.0,2016,2010-2019,20-25,26:57:33,1617.33
57,Josphat Muchiri NDAMBIRI,12/02/1985,KEN,1f1,Shizuoka (JPN),03/05/2009,1230,23.0,2009,2000-2009,20-25,26:57:36,1617.36
58,Yobes ONDIEKI,21/02/1961,KEN,1,Oslo (NOR),10/07/1993,1229,33.0,1993,1990-1999,31-35,26:58:38,1618.38
59,Ibrahim JEILAN,12/06/1989,ETH,5,"Hayward Field, Eugene, OR (USA)",27/05/2016,1228,26.0,2016,2010-2019,26-30,26:58:75,1618.75
60,Nicholas Kipkorir KIMELI,29/09/1998,KEN,,"Sportcomplex De Leidse Hout, Leiden (NED)",19/09/2020,1228,22.0,2020,2020+,20-25,26:58:97,1618.97
61,Mohammed AHMED,05/01/1991,CAN,6f,"Khalifa International Stadium, Doha (QAT)",06/10/2019,1227,28.0,2019,2010-2019,26-30,26:59:35,1619.35
62,Chris SOLINSKY,05/12/1984,USA,1f1,"Palo Alto, CA (USA)",01/05/2010,1227,26.0,2010,2010-2019,26-30,26:59:60,1619.6
63,Bernard Kiprop KIPYEGO,16/07/1986,KEN,4,"Boudewijnstadion, Bruxelles (BEL)",14/09/2007,1227,21.0,2007,2000-2009,20-25,26:59:61,1619.61
64,Titus Kipjumba MBISHEI,28/10/1990,KEN,7,"Boudewijnstadion, Bruxelles (BEL)",16/09/2011,1226,21.0,2011,2010-2019,20-25,26:59:81,1619.81
65,Martin Irungu MATHATHI,25/12/1985,KEN,2f1,Shizuoka (JPN),03/05/2009,1226,23.0,2009,2000-2009,20-25,26:59:88,1619.88
66,Berehanu TSEGU,30/09/1999,ETH,7,Hengelo (NED),17/07/2019,1225,20.0,2019,2010-2019,20-25,27:00:73,1620.73
67,Richard YATOR,06/04/1998,KEN,1f3,"Prefectural Stadium, Kumagaya (JPN)",19/09/2020,1224,22.0,2020,2020+,20-25,27:01:42,1621.42
